sweep,label,beta,m0,N,kappa,n_configs,acceptance,P_mean,P_err,cond_mean,cond_err,meff_mean,meff_err,C0,C1,C2,elapsed_min,outfile
D,Sweep D | beta=4.5 m0=0.04 N=6,4.5,0.04,6,0.123762376,20,0.418300471,0.340843262,0.000731789,-23.98765711,0.001099688,4.113686595,0.003482341,12.57798269,0.104149729,0.001702953,33.40244865,d:\Claude\GA\sweep_results_light\sweep_D_b4.5_m0.04_N6.txt
D,Sweep D | beta=4.5 m0=0.03 N=6,4.5,0.03,6,0.124069479,20,0.419728629,0.337497963,0.00071797,-23.98850807,0.001462346,4.104289514,0.00335991,12.58074988,0.105246354,0.001737009,33.4801103,d:\Claude\GA\sweep_results_light\sweep_D_b4.5_m0.03_N6.txt
D,Sweep D | beta=4.5 m0=0.05 N=6,4.5,0.05,6,0.12345679,20,0.416526813,0.339108883,0.000655549,-23.98816139,0.00099466,4.125811751,0.003533017,12.57507602,0.103517309,0.001672207,33.54976286,d:\Claude\GA\sweep_results_light\sweep_D_b4.5_m0.05_N6.txt
D,Sweep D | beta=4.5 m0=0.02 N=6,4.5,0.02,6,0.124378109,20,0.417871955,0.341143892,0.000807299,-23.98982828,0.001060281,4.104259389,0.004007652,12.58360384,0.105856018,0.001747182,33.65172703,d:\Claude\GA\sweep_results_light\sweep_D_b4.5_m0.02_N6.txt
D,Sweep D | beta=6.0 m0=0.05 N=6,6,0.05,6,0.12345679,20,0.246429605,0.581516052,0.000795328,-23.97947001,0.001047887,4.0734878,0.002004916,12.57409768,0.105784116,0.001800301,38.29647956,d:\Claude\GA\sweep_results_light\sweep_D_b6.0_m0.05_N6.txt
D,Sweep D | beta=6.0 m0=0.02 N=6,6,0.02,6,0.124378109,20,0.244494048,0.586404006,0.000814001,-23.97629435,0.001114655,4.053733843,0.003333992,12.58319639,0.108575059,0.00188486,39.40828449,d:\Claude\GA\sweep_results_light\sweep_D_b6.0_m0.02_N6.txt
D,Sweep D | beta=6.0 m0=0.04 N=6,6,0.04,6,0.123762376,20,0.242961516,0.594036468,0.000492088,-23.97687056,0.000927954,4.056751955,0.002442335,12.57760128,0.107422886,0.001859094,39.42059926,d:\Claude\GA\sweep_results_light\sweep_D_b6.0_m0.04_N6.txt
D,Sweep D | beta=6.0 m0=0.03 N=6,6,0.03,6,0.124069479,20,0.24614852,0.582941016,0.001305982,-23.97837717,0.001103642,4.05378286,0.002245884,12.58031621,0.10776608,0.001870581,39.65278215,d:\Claude\GA\sweep_results_light\sweep_D_b6.0_m0.03_N6.txt
E,Sweep E | beta=4.5 m0=0.1 N=8,4.5,0.1,8,0.12195122,10,0.419725884,0.339143943,0.00051952,-23.98737641,0.001042182,4.147579164,0.006073763,12.5603961,0.100701022,0.001591725,52.14380592,d:\Claude\GA\sweep_results_light\sweep_E_b4.5_m0.1_N8.txt
E,Sweep E | beta=4.5 m0=0.05 N=8,4.5,0.05,8,0.12345679,10,0.420102539,0.341393373,0.000911752,-23.98762783,0.0012416,4.115500825,0.003912498,12.57507713,0.103395769,0.001687307,52.18011972,d:\Claude\GA\sweep_results_light\sweep_E_b4.5_m0.05_N8.txt
E,Sweep E | beta=6.0 m0=0.1 N=8,6,0.1,8,0.12195122,10,0.251232096,0.578907227,0.000379534,-23.98022925,0.000863768,4.099327002,0.003079428,12.5592929,0.103910659,0.001723343,55.20480816,d:\Claude\GA\sweep_results_light\sweep_E_b6.0_m0.1_N8.txt
